TransactionID,BuyerID,SellerID,Amount(INR),Date
1,QE0L,9VIN,782920,01-01-2022
2,QB0R,RLZY,75435,01-01-2022
3,LHYP,7F9R,996685,01-01-2022
4,4JU9,8LG3,66906,01-01-2022
5,AJNL,MWWG,600116,01-01-2022
6,PO3O,ZYLE,502941,01-01-2022
7,BHXP,76S1,607717,01-01-2022
8,D053,1RIT,661751,01-01-2022
9,05YT,WAS4,350754,01-01-2022
10,MF32,9PQ6,573495,01-01-2022
11,LQOM,I7VS,352673,01-01-2022
12,1DQ1,2CH6,660005,01-01-2022
13,8RE5,W905,523266,01-01-2022
14,FDBP,2XQW,345475,01-01-2022
15,D9W6,0W2D,118069,01-01-2022
16,MN69,XVG7,390879,01-01-2022
17,J31E,4J6O,160126,01-01-2022
18,QRUT,DQ5F,216605,01-01-2022
19,I8YR,42SC,438625,01-01-2022
20,RLH3,5009,477103,01-01-2022
21,E3UC,DSMQ,751378,01-01-2022
22,6SQ3,JNUM,669635,01-01-2022
23,1SSU,KO5F,42073,01-01-2022
24,ZU69,KQLS,641684,01-01-2022
25,9L22,8GLZ,380432,01-01-2022
26,OI4T,EPQH,116706,01-01-2022
27,ITWO,P7SJ,527655,01-01-2022
28,UETQ,5B1B,438800,01-01-2022
29,R9BT,VHPG,588225,01-01-2022
30,WTZL,IC6D,477442,01-01-2022
31,KQFR,VSCU,483819,01-01-2022
32,1Z0P,57TO,874110,01-01-2022
33,TK2F,FO0F,316132,01-01-2022
34,1D29,CEG8,327160,01-01-2022
35,AEO8,XHHS,150940,01-01-2022
36,PWAR,IZXK,160644,01-01-2022
37,C8SB,DWA0,135125,01-01-2022
38,J9U1,A4ZV,371683,01-01-2022
39,X7ZL,52UU,351555,01-01-2022
40,VTBT,S87N,594870,01-01-2022
41,O667,71NA,216862,01-01-2022
42,Z3VQ,QJUB,918721,01-01-2022
43,LNE6,PFG7,356839,01-01-2022
44,OK2J,IZ69,142231,01-01-2022
45,DT2Y,Y1B4,593610,01-01-2022
46,1K1J,O9SE,220320,01-01-2022
47,PP07,C7I6,985166,01-01-2022
48,H0E1,SET4,395585,01-01-2022
49,0BBN,OCGQ,339186,01-01-2022
50,6ABP,JL99,211018,01-01-2022
51,W3OR,BCO5,189229,01-01-2022
52,J1RG,49FG,573196,01-01-2022
53,8A5C,2ZUE,662365,01-01-2022
54,02WY,J94W,302364,01-01-2022
55,CH09,0RS4,519268,01-01-2022
56,WDAW,3SQH,808895,01-01-2022
