TransactionID,BuyerID,SellerID,Amount(INR),Date
1,HT54,Z91K,125232,01-01-2022
2,YB4T,K2G7,717146,01-01-2022
3,NZ8E,LJN2,82812,01-01-2022
4,OP2P,4M07,26905,01-01-2022
5,Z7II,SMKS,156784,01-01-2022
6,S4KG,774N,737315,01-01-2022
7,FESF,N96H,663169,01-01-2022
8,2QYJ,VM4Y,565000,01-01-2022
9,W93T,5HXI,586109,01-01-2022
10,ULXT,WGFO,90282,01-01-2022
11,EXHI,Z0NS,791285,01-01-2022
12,ULW8,J0MT,834300,01-01-2022
13,FWX0,GRYO,124504,01-01-2022
14,P44V,U0WK,903646,01-01-2022
15,236I,KTDQ,728725,01-01-2022
16,OKCU,G81J,272356,01-01-2022
17,I7Q3,TSSC,696624,01-01-2022
18,ES72,YK98,667290,01-01-2022
19,HBRK,8ZIW,465670,01-01-2022
20,09O3,5Z9S,660818,01-01-2022
21,D055,LLSU,998073,01-01-2022
22,MHON,JYI1,458181,01-01-2022
23,76RU,ELFU,941977,01-01-2022
24,DQ4Q,Q5N6,40930,01-01-2022
25,7D4P,3FU4,427872,01-01-2022
26,2RH6,5M79,692401,01-01-2022
27,YJCC,60B4,417739,01-01-2022
28,NC38,0DWC,990534,01-01-2022
29,TITF,QLGL,814111,01-01-2022
30,18CT,4IKR,769402,01-01-2022
31,OT8K,PQNC,411036,01-01-2022
32,BTW4,4CGQ,671437,01-01-2022
33,JMNC,BW74,472290,01-01-2022
34,URIJ,MUQK,400275,01-01-2022
35,5PEW,E09G,16215,01-01-2022
36,XB2O,8SSL,224548,01-01-2022
37,N6K0,J5NQ,678153,01-01-2022
38,U5O0,RWI4,585564,01-01-2022
39,9260,YS2S,477268,01-01-2022
40,RUVC,JRFX,414254,01-01-2022
41,CYP6,YZQL,551744,01-01-2022
42,QLCZ,5A5B,563703,01-01-2022
43,S8J9,D8ZZ,319323,01-01-2022
44,WNQD,UVBN,647602,01-01-2022
45,K60Z,SNIE,770986,01-01-2022
46,YUIL,R9P6,491268,01-01-2022
47,1IA2,IGRI,252261,01-01-2022
48,VSEK,VHL5,836968,01-01-2022
49,LCXK,LYSD,909530,01-01-2022
50,B3XV,CTR2,624111,01-01-2022
51,1PP2,3UP3,110560,01-01-2022
52,2EBP,BP8S,199574,01-01-2022
53,I6GZ,KO34,844132,01-01-2022
54,X8SA,RNXR,39541,01-01-2022
55,QBPB,9R1I,154357,01-01-2022
56,URMQ,O4K8,537145,01-01-2022
57,7DG4,JX4W,128225,01-01-2022
58,HW8V,QJDH,116757,01-01-2022
59,2W40,V9J2,843052,01-01-2022
60,OSLG,NMQJ,766949,01-01-2022
61,JLIY,A375,572153,01-01-2022
62,ARXW,9FNU,404592,01-01-2022
63,SUDV,WJ3D,386070,01-01-2022
64,68I5,TZGV,64701,01-01-2022
65,6DXA,GY6R,721448,01-01-2022
66,3FWF,AT2F,554926,01-01-2022
67,XJW0,2DMF,334912,01-01-2022
68,YSUN,2IM5,778810,01-01-2022
69,B2SQ,QWCL,705322,01-01-2022
70,S356,10KT,105468,01-01-2022
71,V4K8,KE55,582089,01-01-2022
72,0K35,RMKG,465896,01-01-2022
73,FIF6,20W5,910375,01-01-2022
74,Z8EK,D25G,202341,01-01-2022
75,0TU5,YXKG,110865,01-01-2022
76,VEQQ,THZU,71378,01-01-2022
77,5SHB,F8T4,136775,01-01-2022
78,ZW2I,036S,386952,01-01-2022
79,5IG7,ZIS0,212241,01-01-2022
80,2D2A,F7ZJ,70267,01-01-2022
81,4R0P,TIW5,17815,01-01-2022
82,VDNC,3CYP,295079,01-01-2022
83,4SMG,QHBX,355817,01-01-2022
84,LXD0,LQLH,631446,01-01-2022
85,BC9X,8RFU,313163,01-01-2022
86,1NX2,HGA4,656175,01-01-2022
87,L9Q0,1YJS,935120,01-01-2022
88,I8I3,ZFB1,390944,01-01-2022
89,4II2,637M,529091,01-01-2022
90,NXV0,H3SI,733330,01-01-2022
91,O4QO,P1SY,56692,01-01-2022
92,LOAK,FDGH,500294,01-01-2022
93,ELY7,FD2Y,923372,01-01-2022
94,WIM4,B0AT,672153,01-01-2022
95,W0I8,FMU8,806451,01-01-2022
96,KSG9,LQEY,270835,01-01-2022
97,OGNT,OVKQ,220025,01-01-2022
98,7Z6I,FE0Y,445116,01-01-2022
99,NDUM,CLOT,642296,01-01-2022
100,V2YO,NIEC,859373,01-01-2022
101,V6OT,HKMN,670045,01-01-2022
102,K38W,1R38,384369,01-01-2022
103,QOZ0,LC7V,531221,01-01-2022
104,3P45,OMIK,77818,01-01-2022
105,0C2P,ELWC,364531,01-01-2022
106,U2TS,369R,183592,01-01-2022
107,GLV0,C6XW,367812,01-01-2022
108,BCLJ,OC8Z,583669,02-01-2022
