TransactionID,BuyerID,SellerID,Amount(INR),Date
1,H82D,E6VS,409666,01-01-2022
2,IN0V,BEHM,489072,01-01-2022
3,PL8U,VAH2,845900,01-01-2022
4,LYNO,WWB2,694479,01-01-2022
5,S23A,3BN3,294517,01-01-2022
6,FLZT,HZDG,361620,01-01-2022
7,6ZSX,PJIK,759040,01-01-2022
8,Z5WP,KGNN,952653,01-01-2022
9,5AKD,7R73,194249,01-01-2022
10,1WY6,TUD1,335244,01-01-2022
11,6DKA,Z57W,456545,01-01-2022
12,1S6K,32ZR,224300,01-01-2022
13,TFYF,0OE3,834887,01-01-2022
14,Y10F,NBT2,181743,01-01-2022
15,3HOY,4O53,545382,01-01-2022
16,VU4R,UXW1,795649,01-01-2022
17,6YSA,K9FU,480614,01-01-2022
18,LF8Y,XM85,745057,01-01-2022
19,ZW20,HR9J,21401,01-01-2022
20,350C,17ZG,61206,01-01-2022
21,VCBW,9341,659729,01-01-2022
22,5AXF,CTJY,392654,01-01-2022
23,6YPJ,650S,691054,01-01-2022
24,LHXX,YFA9,291448,01-01-2022
25,RFUL,6.00E+03,978088,01-01-2022
26,HWYK,NOWS,537037,01-01-2022
27,VE54,1YG5,463154,01-01-2022
28,9Y6B,K1HU,944853,01-01-2022
29,H5AB,PEHT,847769,01-01-2022
30,MCOG,42BS,159402,01-01-2022
31,5FTA,EJTR,926348,01-01-2022
32,FY7V,G097,597726,01-01-2022
33,D3UU,Y5TB,830483,01-01-2022
34,P84Q,C7ZI,373758,01-01-2022
35,DG4P,91B8,264002,01-01-2022
36,SO37,2VTE,898287,01-01-2022
37,19Z3,3IIO,793280,01-01-2022
38,J4K5,GTMU,601504,01-01-2022
39,VCOO,N1X2,573784,01-01-2022
40,TRX9,CU72,521917,01-01-2022
41,BMJJ,E24T,36942,01-01-2022
42,RCCT,YFXX,692998,01-01-2022
43,7UH0,TO4R,98690,01-01-2022
44,V2OE,ZALF,830627,01-01-2022
45,V928,033Y,426067,01-01-2022
46,MDIG,U7YY,446003,01-01-2022
47,P2DP,TGJ0,870672,01-01-2022
48,LMKF,9A5H,922916,01-01-2022
49,C7IO,WRNA,938542,01-01-2022
50,BMLJ,I806,316848,01-01-2022
51,HR10,WZDZ,69839,01-01-2022
52,TWI0,QDE9,250034,01-01-2022
53,6F6A,Z9JI,334321,01-01-2022
54,18OP,YVA0,372990,01-01-2022
55,SM5B,IIBM,563401,01-01-2022
56,AHOC,R4GZ,806321,01-01-2022
57,N3AW,TMJO,193697,01-01-2022
58,JAJ5,9ZBO,388256,01-01-2022
59,0DG2,W7SZ,937730,01-01-2022
60,KCTY,IGI7,913238,01-01-2022
61,V0WU,8ZW9,642377,01-01-2022
62,UVRY,ARXH,213198,01-01-2022
63,66HV,IDD6,272166,01-01-2022
64,SN46,PYNG,379735,01-01-2022
65,WIGW,VNXC,474458,01-01-2022
66,7DKI,GGNZ,880947,01-01-2022
67,IXRQ,V928,824272,01-01-2022
68,DO3Z,6QI4,1821,01-01-2022
69,FS5Q,ZYFK,649427,01-01-2022
70,BER6,KLB7,454636,01-01-2022
71,CX8S,2Q0Y,741972,01-01-2022
72,7EJV,P8RK,885952,01-01-2022
73,FR66,XXJH,181102,01-01-2022
74,H352,62YR,289224,01-01-2022
75,0L7F,AA5J,966603,01-01-2022
76,N5FK,57U3,953800,01-01-2022
77,8HD1,3C86,177896,01-01-2022
78,PTV7,7Q9N,153724,01-01-2022
79,QSOS,Y3PL,497638,01-01-2022
80,EQPM,0CPX,379647,01-01-2022
81,GSEZ,ZCRP,43627,01-01-2022
82,LKVJ,NG99,53997,01-01-2022
83,C10J,SNXU,81037,01-01-2022
84,MGGU,6SPT,760772,02-01-2022
85,2CQO,78HY,54888,02-01-2022
86,KGM6,FQOC,113897,02-01-2022
87,1HS6,88MT,117914,02-01-2022
88,O6C1,SSP5,308000,02-01-2022
89,PFJZ,6HX7,773454,02-01-2022
90,N1XN,WNR9,769436,02-01-2022
