TransactionID,BuyerID,SellerID,Amount(INR),Date
1,6HN2,5TKS,709671,01-01-2022
2,CZMW,T2Q8,734742,01-01-2022
3,A6RO,OPVA,295083,01-01-2022
4,Q8NR,EVMZ,174671,01-01-2022
5,JKNP,34QT,384435,01-01-2022
6,JA07,O1DI,41147,01-01-2022
7,WGWV,Z2QQ,300232,01-01-2022
8,E20D,V1JC,512340,01-01-2022
9,Q8NR,P10D,973643,01-01-2022
10,8374,A3SJ,346916,01-01-2022
11,M5NZ,38ZA,634669,01-01-2022
12,NI1X,X148,119260,01-01-2022
13,HTMT,71VX,856417,01-01-2022
14,LMAH,GP6X,99615,01-01-2022
15,Z7KS,AVTE,891561,01-01-2022
16,0WHL,5NME,61113,01-01-2022
17,3021,HTZJ,732699,01-01-2022
18,6SUR,CXIG,965037,01-01-2022
19,0NJW,WLSF,651754,01-01-2022
20,2HBK,VLQJ,909610,01-01-2022
21,XNG5,X4P1,431304,01-01-2022
22,2AR1,M5NZ,278944,01-01-2022
23,8HVY,WVKA,696429,01-01-2022
24,KLZG,YTHW,403660,02-01-2022
25,B6GH,JEXQ,305447,02-01-2022
26,67PE,KO58,471948,02-01-2022
27,7W64,Z067,353867,02-01-2022
28,TRIU,V91O,951532,02-01-2022
29,569B,FYP5,475024,02-01-2022
30,PZJM,F51U,961660,02-01-2022
31,KH69,GMQE,549356,02-01-2022
32,999X,HRDE,18394,02-01-2022
33,XBTT,IKUS,316322,02-01-2022
34,75F7,C8KE,164629,02-01-2022
35,HXNG,IKAT,611229,02-01-2022
36,8KZS,WGYF,22524,02-01-2022
37,OKT8,31TA,768740,02-01-2022
38,KA5M,0YBF,463840,02-01-2022
39,X0AK,SNX5,63685,02-01-2022
40,MAMU,L7DZ,197174,02-01-2022
41,YH8D,B8WU,855324,02-01-2022
42,NIAQ,GRG0,228119,02-01-2022
43,UC7A,BO4G,366131,02-01-2022
44,Y2CV,A1D4,144245,03-01-2022
45,YH8D,MGQ1,703998,03-01-2022
46,8QY4,DZJ8,441106,03-01-2022
47,GOGN,KF4R,390956,03-01-2022
48,5L2A,ADEV,476739,03-01-2022
49,MBG4,05-Jul,747793,03-01-2022
50,335W,S4QB,177398,03-01-2022
51,NZXK,6ZJ2,37968,03-01-2022
52,M3Q8,J223,449159,03-01-2022
53,I20S,EXY5,104667,03-01-2022
54,3LA8,98PU,693293,03-01-2022
55,57EY,LEQ2,631012,03-01-2022
56,QJRQ,M15C,599016,03-01-2022
57,DSJ8,SG8A,666101,03-01-2022
58,36EW,19PF,300973,03-01-2022
59,FECX,WIJQ,50363,03-01-2022
60,BVVN,LW6Q,547172,03-01-2022
61,ACEH,TNI9,462970,03-01-2022
62,LUWN,BY2N,362914,03-01-2022
63,PZJM,C4C3,717909,03-01-2022
64,3Y7X,6RRB,679976,03-01-2022
65,LQR9,WLX5,165506,03-01-2022
66,H44X,55FR,133172,03-01-2022
67,NLFN,BRJT,607667,03-01-2022
68,65F4,AOMN,726875,03-01-2022
69,Z63P,ZO4Z,771450,03-01-2022
70,SWWA,XS1A,499514,03-01-2022
71,25JU,1125,283305,03-01-2022
72,05-Jul,QXHR,571255,03-01-2022
73,QB4N,4O7E,205824,03-01-2022
74,V08K,RUT8,814775,03-01-2022
75,3914,DVRE,238655,03-01-2022
76,JPKI,OP1M,87258,04-01-2022
77,6OX7,QUTZ,207994,04-01-2022
78,QTQB,8R3O,457723,04-01-2022
79,JYBH,I5SH,277919,04-01-2022
80,SXAG,5S5U,487896,04-01-2022
81,2Y9F,HBIT,98251,04-01-2022
82,VF19,0WHL,531191,04-01-2022
83,9JFN,G44L,566998,04-01-2022
84,WCBM,WQ7K,981297,04-01-2022
85,PKXN,QEPC,253750,04-01-2022
86,3OBB,F89L,195094,04-01-2022
87,VT1A,FEWP,243179,04-01-2022
88,137A,A9VN,6124,04-01-2022
89,UX68,RFET,579047,04-01-2022
90,6R15,EYZX,62193,04-01-2022
91,QDVL,KTXR,948819,04-01-2022
92,6IHB,QTQB,4928,04-01-2022
93,6ITE,BWEB,327644,04-01-2022
94,L8MA,53G0,679881,04-01-2022
95,K8NV,2Z6X,789709,04-01-2022
96,J223,QOZM,330955,04-01-2022
97,C7QP,WIJQ,923567,04-01-2022
98,TAZ5,YHTE,253461,04-01-2022
99,GCTK,TQ1Z,74147,04-01-2022
100,QXHR,5Y4C,648300,04-01-2022
101,H3N0,1WJZ,393098,04-01-2022
102,ZH1V,DCN8,889290,04-01-2022
103,SGQS,FFK2,73043,04-01-2022
104,YIS6,9LQN,260680,04-01-2022
105,UBIU,9DF2,370636,05-01-2022
106,91G8,F5A7,145366,05-01-2022
107,MR47,IQUP,935326,05-01-2022
108,MVBT,5G3S,577940,05-01-2022
109,MDQS,NLFN,569009,05-01-2022
110,9F7F,XBTT,213745,05-01-2022
111,8NYY,FDP7,660241,05-01-2022
112,NLNM,XGNQ,658653,05-01-2022
113,ET4E,AJXS,92891,05-01-2022
114,WS97,ABCA,705198,05-01-2022
115,OJ3E,TD0C,916805,05-01-2022
116,DCN8,IAAZ,17871,05-01-2022
