TransactionID,BuyerID,SellerID,Amount(INR),Date
1,6KHA,Z32X,759280,01-01-2022
2,1AOL,SO5I,72555,01-01-2022
3,7JL1,6A9H,387728,01-01-2022
4,WQLR,FPHI,992513,01-01-2022
5,0SNI,YRKV,694409,01-01-2022
6,48J8,3D57,587010,01-01-2022
7,1CA0,08EN,827064,01-01-2022
8,7QV1,Z2RI,602919,01-01-2022
9,1IR1,2JEA,346352,01-01-2022
10,GRT3,3CMV,899635,01-01-2022
11,G6FB,VX6P,206847,01-01-2022
12,A97N,D098,444586,01-01-2022
13,689Y,A65R,196684,01-01-2022
14,99WU,9P0I,321598,01-01-2022
15,VW4J,R486,49519,01-01-2022
16,Q2QT,SCGW,238293,01-01-2022
17,YLLP,QWUB,558556,01-01-2022
18,R2NE,6W5B,197849,01-01-2022
19,9G3S,WZRH,480154,01-01-2022
20,Q5QU,06MA,685698,01-01-2022
21,FP79,MZKB,134225,01-01-2022
22,FT0E,P07K,953689,01-01-2022
23,UAOZ,6Q4Y,522481,01-01-2022
24,WWIG,HLKM,884370,01-01-2022
25,COGY,WUAM,997956,01-01-2022
26,I744,L61Z,228037,01-01-2022
27,2X0S,PO07,132631,01-01-2022
28,28JL,W4S3,910669,01-01-2022
29,UHMA,GT6K,55353,01-01-2022
30,V8PD,2DPE,813241,01-01-2022
31,R60N,509E,828710,01-01-2022
32,U57S,TKJD,677668,01-01-2022
33,CN0J,2HQL,643938,01-01-2022
34,7CLQ,70MN,261471,01-01-2022
35,R8W7,H1CD,821762,01-01-2022
36,5G28,295E,855005,01-01-2022
37,GG15,UT0A,206885,01-01-2022
38,5PKB,8B0I,939514,01-01-2022
39,Y63G,3A41,112896,01-01-2022
40,KLY0,2M4Y,498333,01-01-2022
41,6BJ9,LX98,42543,01-01-2022
42,I2Q7,EGQM,776456,01-01-2022
43,QI9A,JH7E,769201,01-01-2022
44,75MK,SUTK,91709,01-01-2022
45,FT8I,9P74,823063,01-01-2022
46,ZABI,ZKIL,939828,01-01-2022
47,U802,25QS,370411,02-01-2022
48,T01M,HIME,529875,02-01-2022
49,A65R,W6ZF,311176,02-01-2022
50,YLXH,2ZJT,96407,02-01-2022
51,DCCK,CPZK,237483,02-01-2022
52,RVEC,UGK6,737768,02-01-2022
53,EBTB,4OSB,782345,02-01-2022
54,8QSJ,P81U,198500,02-01-2022
55,L828,4UHA,380994,02-01-2022
